	#Angle	Frequency	Speed	Average_Time	Errors	Capped_Errors	Failure_rate	0.1	0.2	0.3	0.4	0.5	0.6	0.7	0.8	0.9	1.0	1.2	1.4	1.6	1.8	2.0
0	0.0	1.0	0.27	0.1598543619	0.211538461538	0.211538461538	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
1	0.0	2.0	0.27	0.153321207011	0.0961538461538	0.0961538461538	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
2	0.0	4.0	0.27	0.141412771783	0.115384615385	0.115384615385	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
3	0.0	8.0	0.27	0.146865861736	0.134615384615	0.134615384615	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
4	0.0	13.0	0.27	0.152702402414	0.192307692308	0.192307692308	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
5	0.0	20.0	0.27	0.150918347902	0.173076923077	0.173076923077	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
6	0.0	30.0	0.27	0.16271906789	0.173076923077	0.173076923077	0.0	0.00534719726337	0.00865008820375	0.0119529772446	0.0152558733948	0.0185587643375	0.0218616443671	0.0251645242028	0.0284674305351	0.0317703214082	0.0350732190552	0.0416789800462	0.0482847491036	0.0548905713837	0.0614963227758	0.0681021285094
7	30.0	1.0	0.27	0.15004326875	0.25	0.25	0.0	0.0127643565191	0.0342856367384	0.0889041622833	0.123162893206	0.110445388182	0.268617567988	0.370377279664	0.423953973331	0.644102801461	0.168362509057	1.02293228871	1.07522627521	1.38854676374	1.59999633331	1.66940342683
8	30.0	2.0	0.27	0.148723202398	0.230769230769	0.230769230769	0.0	0.0221995846783	0.0755099667687	0.152065025276	0.246084151148	0.0443103817094	0.556701490787	0.651080505852	0.744843595105	0.861893487891	0.927852693464	1.0844861877	1.24782292771	1.39101842482	1.64396855869	1.82653318642
9	30.0	4.0	0.27	0.166999077816	0.269230769231	0.269230769231	0.0	0.0455424300881	0.145202992212	0.303007612827	0.387781571547	0.481740477409	0.511696538182	0.624191847706	0.691514021199	0.754826835912	0.91200457585	1.05495354681	1.12712135456	1.33491019255	1.55737344376	1.59675647324
10	30.0	8.0	0.27	0.16914117129	0.288461538462	0.288461538462	0.0	0.0785145098974	0.233356351896	0.316592387909	0.39078851806	0.479241815077	0.546509427285	0.656728446444	0.756416842661	0.847541965288	0.866050837786	1.08849588405	1.23895303398	1.46821934543	1.66691886833	1.70919860686
11	30.0	13.0	0.27	0.168204099933	0.365384615385	0.365384615385	0.0	0.116804107182	0.21359593711	0.300550342064	0.347696843976	0.43465618558	0.492562321684	0.593537160737	0.686495311525	0.718014953525	0.764637849854	0.924205650898	0.964668617256	1.18476613692	1.35530132751	1.48020654684
